,Movie,Dialogue,Directors,Producers,Genre,Editor
0, Gone with the Wind (1939),"  ""Frankly, my dear, I don't give a damn."""," Victor Fleming, Sam Wood, George Cukor, Chester Franklin, James Fitzpatrick", David O. Selznick, Romance,"  William Reynolds, Peter Zinner"
1, The Godfather (1972),"  ""I'm gonna make him an offer he can't refuse.""", Francis Ford Coppola," Robert Evans, Albert S. Ruddy", Drama,  Gene Milford
2, On the Waterfront (1954),"  ""You don't understand!  I coulda had class. I coulda been a contender. I could've been somebody, instead of a bum, which is what I am.""", Elia Kazan, Sam Spiegel, Drama,  Blanche Sewell
3, The Wizard of Oz (1939),"  ""Toto, I've a feeling we're not in Kansas anymore."""," Victor Fleming, King Vidor", Mervyn LeRoy," Fantasy, Musical",  Owen Marks
4, Casablanca (1942),"  ""Here's looking at you, kid.""", Michael Curtiz," Jack L. Warner, Hal B. Wallis", Romance,  Joel Cox
5, Sudden Impact (1983),"  ""Go ahead, make my day.""", Clint Eastwood," Clint Eastwood, Fritz Manes", Drama,"  Arthur Schmidt, Doane Harrison"
6, Sunset Blvd. (1950),"  ""All right, Mr. DeMille, I'm ready for my close-up.""", Billy Wilder, Charles Brackett, Drama,"  Paul Hirsch, Marcia Lucas, Richard Chew, John Jympson"
7, Star Wars (1977),"  ""May the Force be with you.""", George Lucas," Gary Kurtz, George Lucas"," Adventure, Science fiction",  Barbara McLean
8, All About Eve (1950),"  ""Fasten your seatbelts. It's going to be a bumpy night.""", Joseph L. Mankiewicz, Darryl F. Zanuck, Drama,"  Tom Rolf, Melvin Shapiro"
9, Taxi Driver (1976),"  ""You talking to me?""", Martin Scorsese," Michael Phillips, Julia Phillips", Drama,  Sam O'Steen
10, Cool Hand Luke (1967),"  ""What we've got here is failure to communicate.""", Stuart Rosenberg, Gordon Carroll, Drama,"  Walter Murch, Gerald B. Greenberg, Lisa Fruchtman"
11, Apocalypse Now (1979),"  ""I love the smell of napalm in the morning.""", Francis Ford Coppola, Francis Ford Coppola, Drama,  Robert C. Jones
12, Love Story (1970),"  ""Love means never having to say you're sorry.""", Arthur Hiller," Howard G. Minsky, David Golden", Romance,  Thomas Richards
13, The Maltese Falcon (1941),"  ""The stuff that dreams are made of.""", John Huston, Hal B. Wallis, Drama,  Carol Littleton
14, E.T.:  The Extra-Terrestrial (1982),"  ""E.T. phone home.""", Steven Spielberg," Steven Spielberg, Kathleen Kennedy"," Fantasy, Science fiction",  Hal Ashby
15, In the Heat of the Night (1967),"  ""They call me Mister Tibbs!""", Norman Jewison, Walter Mirisch, Drama,  Robert Wise
16, Citizen Kane (1941),"  ""Rosebud.""", Orson Welles," Orson Welles, Sid Rogell", Drama,  Owen Marks
17, White Heat (1949),"  ""Made it, Ma! Top of the world!""", Raoul Walsh, Louis F. Edelman, Drama,  Alan Heim
