Model,GPU,RAM,Storage,Price
MSI Modern 15 A4SX Ryzen 5 4500U , AMD Radeon Graphics , 8GB RAM , 512GB SSD ,"NPR81,000.00"
Lenovo Legion Y540 i5 9th Gen , GTX 1650 , 8GB RAM , 256GB SSD + 1TB HDD ,"NPR92,000.00"
Acer Nitro 5 2021 AMD Ryzen 5 5600H , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR95,000.00"
HP Pavilion Power 15 2020 i5 10300H , GTX 1650ti , 8GB RAM , 512GB SSD ,"NPR95,000.00"
MSI GF63 9SCSR i5 9TH GEN, GTX 1650TI, 256GB SSD , 512GB SSD ,"NPR99,000.00"
MSI GF63 Thin 10SC i5 10TH GEN , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR99,000.00"
MSI Bravo 15 A4DCR Ryzen 5 4600H , RX5300M , 8GB RAM , 512GB SSD ,"NPR99,000.00"
HP Victus 16 2021 Ryzen 5 5600H , AMD Radeon™ RX 5500M 4096MB , 8GB RAM , 256GB SSD ,"NPR105,000.00"
Acer Nitro 5 2021 i5 11TH GEN, GTX 1650," 15.6"" FHD 144Hz", 8GB RAM,"NPR110,000.00"
Acer Nitro 5 2020 i5 10TH GEN , RTX 2060 , 8GB RAM , 256GB SSD ,"NPR113,000.00"
MSI Summit B15 A11M  i5 11th Gen , GTX 1650TI , Iris Xe ,  512GB SSD ,"NPR115,000.00"
MSI Modern 15 A4SX Ryzen 5 4500U , AMD Radeon Graphics , 8GB RAM , 512GB SSD ,"NPR81,000.00"
Lenovo Legion Y540 i5 9th Gen , GTX 1650 , 8GB RAM , 256GB SSD + 1TB HDD ,"NPR92,000.00"
Acer Nitro 5 2021 AMD Ryzen 5 5600H , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR95,000.00"
HP Pavilion Power 15 2020 i5 10300H , GTX 1650ti , 8GB RAM , 512GB SSD ,"NPR95,000.00"
MSI GF63 9SCSR i5 9TH GEN, GTX 1650TI, 256GB SSD , 512GB SSD ,"NPR99,000.00"
MSI GF63 Thin 10SC i5 10TH GEN , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR99,000.00"
MSI Bravo 15 A4DCR Ryzen 5 4600H , RX5300M , 8GB RAM , 512GB SSD ,"NPR99,000.00"
HP Victus 16 2021 Ryzen 5 5600H , AMD Radeon™ RX 5500M 4096MB , 8GB RAM , 256GB SSD ,"NPR105,000.00"
Acer Nitro 5 2021 i5 11TH GEN, GTX 1650," 15.6"" FHD 144Hz", 8GB RAM,"NPR110,000.00"
Acer Nitro 5 2020 i5 10TH GEN , RTX 2060 , 8GB RAM , 256GB SSD ,"NPR113,000.00"
MSI Summit B15 A11M  i5 11th Gen , GTX 1650TI , Iris Xe ,  512GB SSD ,"NPR115,000.00"
MSI Modern 15 A4SX Ryzen 5 4500U , AMD Radeon Graphics , 8GB RAM , 512GB SSD ,"NPR81,000.00"
Lenovo Legion Y540 i5 9th Gen , GTX 1650 , 8GB RAM , 256GB SSD + 1TB HDD ,"NPR92,000.00"
Acer Nitro 5 2021 AMD Ryzen 5 5600H , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR95,000.00"
HP Pavilion Power 15 2020 i5 10300H , GTX 1650ti , 8GB RAM , 512GB SSD ,"NPR95,000.00"
MSI GF63 9SCSR i5 9TH GEN, GTX 1650TI, 256GB SSD , 512GB SSD ,"NPR99,000.00"
MSI GF63 Thin 10SC i5 10TH GEN , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR99,000.00"
MSI Bravo 15 A4DCR Ryzen 5 4600H , RX5300M , 8GB RAM , 512GB SSD ,"NPR99,000.00"
HP Victus 16 2021 Ryzen 5 5600H , AMD Radeon™ RX 5500M 4096MB , 8GB RAM , 256GB SSD ,"NPR105,000.00"
Acer Nitro 5 2021 i5 11TH GEN, GTX 1650," 15.6"" FHD 144Hz", 8GB RAM,"NPR110,000.00"
Acer Nitro 5 2020 i5 10TH GEN , RTX 2060 , 8GB RAM , 256GB SSD ,"NPR113,000.00"
MSI Summit B15 A11M  i5 11th Gen , GTX 1650TI , Iris Xe ,  512GB SSD ,"NPR115,000.00"
MSI Modern 15 A4SX Ryzen 5 4500U , AMD Radeon Graphics , 8GB RAM , 512GB SSD ,"NPR81,000.00"
Lenovo Legion Y540 i5 9th Gen , GTX 1650 , 8GB RAM , 256GB SSD + 1TB HDD ,"NPR92,000.00"
Acer Nitro 5 2021 AMD Ryzen 5 5600H , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR95,000.00"
HP Pavilion Power 15 2020 i5 10300H , GTX 1650ti , 8GB RAM , 512GB SSD ,"NPR95,000.00"
MSI GF63 9SCSR i5 9TH GEN, GTX 1650TI, 256GB SSD , 512GB SSD ,"NPR99,000.00"
MSI GF63 Thin 10SC i5 10TH GEN , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR99,000.00"
MSI Bravo 15 A4DCR Ryzen 5 4600H , RX5300M , 8GB RAM , 512GB SSD ,"NPR99,000.00"
HP Victus 16 2021 Ryzen 5 5600H , AMD Radeon™ RX 5500M 4096MB , 8GB RAM , 256GB SSD ,"NPR105,000.00"
Acer Nitro 5 2021 i5 11TH GEN, GTX 1650," 15.6"" FHD 144Hz", 8GB RAM,"NPR110,000.00"
Acer Nitro 5 2020 i5 10TH GEN , RTX 2060 , 8GB RAM , 256GB SSD ,"NPR113,000.00"
MSI Summit B15 A11M  i5 11th Gen , GTX 1650TI , Iris Xe ,  512GB SSD ,"NPR115,000.00"
MSI Modern 15 A4SX Ryzen 5 4500U , AMD Radeon Graphics , 8GB RAM , 512GB SSD ,"NPR81,000.00"
Lenovo Legion Y540 i5 9th Gen , GTX 1650 , 8GB RAM , 256GB SSD + 1TB HDD ,"NPR92,000.00"
Acer Nitro 5 2021 AMD Ryzen 5 5600H , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR95,000.00"
HP Pavilion Power 15 2020 i5 10300H , GTX 1650ti , 8GB RAM , 512GB SSD ,"NPR95,000.00"
MSI Modern 14 B4MW Ryzen 7 4700U ,Nan, 8GB RAM , 256GB SSD ,"NPR95,000.00"
MSI GF63 9SCSR i5 9TH GEN, GTX 1650TI, 256GB SSD , 512GB SSD ,"NPR99,000.00"
MSI GF63 Thin 10SC i5 10TH GEN , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR99,000.00"
MSI Bravo 15 A4DCR Ryzen 5 4600H , RX5300M , 8GB RAM , 512GB SSD ,"NPR99,000.00"
HP Victus 16 2021 Ryzen 5 5600H , AMD Radeon™ RX 5500M 4096MB , 8GB RAM , 256GB SSD ,"NPR105,000.00"
Acer Nitro 5 2021 i5 11TH GEN, GTX 1650," 15.6"" FHD 144Hz", 8GB RAM,"NPR110,000.00"
Acer Nitro 5 2020 i5 10TH GEN , RTX 2060 , 8GB RAM , 256GB SSD ,"NPR113,000.00"
MSI Summit B15 A11M  i5 11th Gen , GTX 1650TI , Iris Xe ,  512GB SSD ,"NPR115,000.00"
MSI Modern 15 A11SB i5 11th Gen , GeForce MX450 , 8GB RAM , 512GB SSD ,"NPR115,000.00"
MSI Modern 14 B11SB i5 11th Gen , GeForce MX450 , 8GB RAM , 512GB SSD ,"NPR115,000.00"
Lenovo IdeaPad 5 2022 14 Ryzen 7 5825U , RTX 3050Ti , 1TB SSD ," 14"" FHD display ","NPR118,000.00"
Acer Nitro 5 2022 i5 12th Gen 12500H , RTX 3050 , 8GB RAM , 512GB SSD ,"NPR119,900.00"
Lenovo Legion 5 2021 Ryzen 5 5600H , RTX 3050ti , 8GB RAM  ,  512GB SSD ,"NPR120,000.00"
HP Victus 16 2021 i5 11400H 6 Core ,  NVIDIA GTX 1650 , 8GB RAM , 512GB SSD ,"NPR120,000.00"
MSI GF63 Thin 10UD i5 10TH GEN , RTX 3050Ti , 8GB RAM , 512GB SSD ,"NPR120,000.00"
Lenovo Yoga Slim 7 15ITL05 i5 11th Gen ,Nan, 16GB RAM , 512GB SSD ,"NPR120,000.00"
MSI GL65 9ScK  i7 9TH GEN, 256GB SSD, 8GB RAM, GTX 1650,"NPR120,000.00"
MSI Bravo 15 A4DDR Ryzen 7 4800H , RX5500M , 8GB RAM , 512GB SSD ,"NPR123,000.00"
MSI GF65 10SDR i5 10TH GEN, GTX 1650TI, 512GB SSD, GTX 1660TI ,"NPR125,000.00"
Asus TUF F15 Gaming Laptop i5 10Th Gen , GTX 1650, 8GB RAM , 512GB SSD ,"NPR125,000.00"
MSI Modern 15 A4SX Ryzen 5 4500U , AMD Radeon Graphics , 8GB RAM , 512GB SSD ,"NPR81,000.00"
Lenovo Legion Y540 i5 9th Gen , GTX 1650 , 8GB RAM , 256GB SSD + 1TB HDD ,"NPR92,000.00"
Acer Nitro 5 2021 AMD Ryzen 5 5600H , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR95,000.00"
HP Pavilion Power 15 2020 i5 10300H , GTX 1650ti , 8GB RAM , 512GB SSD ,"NPR95,000.00"
MSI Modern 14 B4MW Ryzen 7 4700U ,Nan, 8GB RAM , 256GB SSD ,"NPR95,000.00"
MSI GF63 9SCSR i5 9TH GEN, GTX 1650TI, 256GB SSD , 512GB SSD ,"NPR99,000.00"
MSI GF63 Thin 10SC i5 10TH GEN , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR99,000.00"
MSI Bravo 15 A4DCR Ryzen 5 4600H , RX5300M , 8GB RAM , 512GB SSD ,"NPR99,000.00"
HP Victus 16 2021 Ryzen 5 5600H , AMD Radeon™ RX 5500M 4096MB , 8GB RAM , 256GB SSD ,"NPR105,000.00"
Acer Nitro 5 2021 i5 11TH GEN, GTX 1650," 15.6"" FHD 144Hz", 8GB RAM,"NPR110,000.00"
Acer Nitro 5 2020 i5 10TH GEN , RTX 2060 , 8GB RAM , 256GB SSD ,"NPR113,000.00"
MSI Summit B15 A11M  i5 11th Gen , GTX 1650TI , Iris Xe ,  512GB SSD ,"NPR115,000.00"
MSI Modern 15 A4SX Ryzen 5 4500U , AMD Radeon Graphics , 8GB RAM , 512GB SSD ,"NPR81,000.00"
Lenovo Legion Y540 i5 9th Gen , GTX 1650 , 8GB RAM , 256GB SSD + 1TB HDD ,"NPR92,000.00"
Acer Nitro 5 2021 AMD Ryzen 5 5600H , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR95,000.00"
HP Pavilion Power 15 2020 i5 10300H , GTX 1650ti , 8GB RAM , 512GB SSD ,"NPR95,000.00"
MSI Modern 14 B4MW Ryzen 7 4700U ,Nan, 8GB RAM , 256GB SSD ,"NPR95,000.00"
MSI GF63 9SCSR i5 9TH GEN, GTX 1650TI, 256GB SSD , 512GB SSD ,"NPR99,000.00"
MSI GF63 Thin 10SC i5 10TH GEN , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR99,000.00"
MSI Bravo 15 A4DCR Ryzen 5 4600H , RX5300M , 8GB RAM , 512GB SSD ,"NPR99,000.00"
HP Victus 16 2021 Ryzen 5 5600H , AMD Radeon™ RX 5500M 4096MB , 8GB RAM , 256GB SSD ,"NPR105,000.00"
Acer Nitro 5 2021 i5 11TH GEN, GTX 1650," 15.6"" FHD 144Hz", 8GB RAM,"NPR110,000.00"
Acer Nitro 5 2020 i5 10TH GEN , RTX 2060 , 8GB RAM , 256GB SSD ,"NPR113,000.00"
MSI Summit B15 A11M  i5 11th Gen , GTX 1650TI , Iris Xe ,  512GB SSD ,"NPR115,000.00"
MSI Modern 15 A11SB i5 11th Gen , GeForce MX450 , 8GB RAM , 512GB SSD ,"NPR115,000.00"
MSI Modern 14 B11SB i5 11th Gen , GeForce MX450 , 8GB RAM , 512GB SSD ,"NPR115,000.00"
Lenovo IdeaPad 5 2022 14 Ryzen 7 5825U , RTX 3050Ti , 1TB SSD ," 14"" FHD display ","NPR118,000.00"
Acer Nitro 5 2022 i5 12th Gen 12500H , RTX 3050 , 8GB RAM , 512GB SSD ,"NPR119,900.00"
Lenovo Legion 5 2021 Ryzen 5 5600H , RTX 3050ti , 8GB RAM  ,  512GB SSD ,"NPR120,000.00"
HP Victus 16 2021 i5 11400H 6 Core ,  NVIDIA GTX 1650 , 8GB RAM , 512GB SSD ,"NPR120,000.00"
MSI GF63 Thin 10UD i5 10TH GEN , RTX 3050Ti , 8GB RAM , 512GB SSD ,"NPR120,000.00"
Lenovo Yoga Slim 7 15ITL05 i5 11th Gen ,Nan, 16GB RAM , 512GB SSD ,"NPR120,000.00"
MSI GL65 9ScK  i7 9TH GEN, 256GB SSD, 8GB RAM, GTX 1650,"NPR120,000.00"
MSI Bravo 15 A4DDR Ryzen 7 4800H , RX5500M , 8GB RAM , 512GB SSD ,"NPR123,000.00"
MSI GF65 10SDR i5 10TH GEN, GTX 1650TI, 512GB SSD, GTX 1660TI ,"NPR125,000.00"
Asus TUF F15 Gaming Laptop i5 10Th Gen , GTX 1650, 8GB RAM , 512GB SSD ,"NPR125,000.00"
MSI Modern 15 A11SB i7 11th Gen , GeForce MX450 , 8GB RAM , 512GB SSD ,"NPR125,000.00"
Acer Nitro 5 2021 AMD Ryzen 7 5800H , GTX 1650 , 8GB RAM , 512GB SSD ,"NPR125,000.00"
Acer Nitro 5 2021 i7 11TH GEN, GTX 1650," 15.6"" FHD 144Hz", 8GB RAM,"NPR127,000.00"
MSI Modern 14 B11SB i7 11th Gen  , MX450 , 8GB RAM , 512GB SSD ,"NPR128,000.00"
Acer Nitro 5 2021 Intel i5 10Th Gen , RTX 3060 , 8GB RAM , 512 SSD ,"NPR129,000.00"
Acer Nitro 5 2022 i5 12th Gen 12500H , RTX 3050 , 8GB RAM , 512GB SSD ,"NPR129,900.00"
Acer Nitro 5 2021 AMD Ryzen 5 5600H , RTX 3060 , 8GB RAM , 512 SSD ,"NPR130,000.00"
Acer Nitro 5 2022 Ryzen 5 6600H , RTX 3060 , 8GB RAM , 512GB SSD ,"NPR135,000.00"
Lenovo Legion 5 2021 Ryzen 5 5600H , RTX 3060 , 8GB RAM  ,  512GB SSD ,"NPR135,000.00"
Lenovo ThinkPad L14 Gen 2 i5 1135G7 , RTX 3050Ti , 512GB SSD ," 14"" FHD Display ","NPR135,000.00"
Dell G5 2021 G5511 i5 11th Gen , RTX 3050 , 16GB RAM , 512GB SSD ,"NPR135,000.00"
Acer Nitro 5 2020 i7 10TH GEN , GTX 1650ti ," 15.6"" FHD  144Hz ", 8GB RAM ,"NPR135,000.00"
MSI Modern 15 A4SX Ryzen 5 4500U , AMD Radeon Graphics , 8GB RAM , 512GB SSD ,"NPR81,000.00"
Lenovo Legion Y540 i5 9th Gen , GTX 1650 , 8GB RAM , 256GB SSD + 1TB HDD ,"NPR92,000.00"
Acer Nitro 5 2021 AMD Ryzen 5 5600H , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR95,000.00"
HP Pavilion Power 15 2020 i5 10300H , GTX 1650ti , 8GB RAM , 512GB SSD ,"NPR95,000.00"
MSI Modern 14 B4MW Ryzen 7 4700U ,Nan, 8GB RAM , 256GB SSD ,"NPR95,000.00"
MSI GF63 9SCSR i5 9TH GEN, GTX 1650TI, 256GB SSD , 512GB SSD ,"NPR99,000.00"
MSI GF63 Thin 10SC i5 10TH GEN , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR99,000.00"
MSI Bravo 15 A4DCR Ryzen 5 4600H , RX5300M , 8GB RAM , 512GB SSD ,"NPR99,000.00"
HP Victus 16 2021 Ryzen 5 5600H , AMD Radeon™ RX 5500M 4096MB , 8GB RAM , 256GB SSD ,"NPR105,000.00"
Acer Nitro 5 2021 i5 11TH GEN, GTX 1650," 15.6"" FHD 144Hz", 8GB RAM,"NPR110,000.00"
Acer Nitro 5 2020 i5 10TH GEN , RTX 2060 , 8GB RAM , 256GB SSD ,"NPR113,000.00"
MSI Summit B15 A11M  i5 11th Gen , GTX 1650TI , Iris Xe ,  512GB SSD ,"NPR115,000.00"
MSI Modern 15 A4SX Ryzen 5 4500U , AMD Radeon Graphics , 8GB RAM , 512GB SSD ,"NPR81,000.00"
Lenovo Legion Y540 i5 9th Gen , GTX 1650 , 8GB RAM , 256GB SSD + 1TB HDD ,"NPR92,000.00"
Acer Nitro 5 2021 AMD Ryzen 5 5600H , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR95,000.00"
HP Pavilion Power 15 2020 i5 10300H , GTX 1650ti , 8GB RAM , 512GB SSD ,"NPR95,000.00"
MSI Modern 14 B4MW Ryzen 7 4700U ,Nan, 8GB RAM , 256GB SSD ,"NPR95,000.00"
MSI GF63 9SCSR i5 9TH GEN, GTX 1650TI, 256GB SSD , 512GB SSD ,"NPR99,000.00"
MSI GF63 Thin 10SC i5 10TH GEN , GTX 1650 , 8GB RAM , 256GB SSD ,"NPR99,000.00"
MSI Bravo 15 A4DCR Ryzen 5 4600H , RX5300M , 8GB RAM , 512GB SSD ,"NPR99,000.00"
HP Victus 16 2021 Ryzen 5 5600H , AMD Radeon™ RX 5500M 4096MB , 8GB RAM , 256GB SSD ,"NPR105,000.00"
Acer Nitro 5 2021 i5 11TH GEN, GTX 1650," 15.6"" FHD 144Hz", 8GB RAM,"NPR110,000.00"
Acer Nitro 5 2020 i5 10TH GEN , RTX 2060 , 8GB RAM , 256GB SSD ,"NPR113,000.00"
MSI Summit B15 A11M  i5 11th Gen , GTX 1650TI , Iris Xe ,  512GB SSD ,"NPR115,000.00"
MSI Modern 15 A11SB i5 11th Gen , GeForce MX450 , 8GB RAM , 512GB SSD ,"NPR115,000.00"
MSI Modern 14 B11SB i5 11th Gen , GeForce MX450 , 8GB RAM , 512GB SSD ,"NPR115,000.00"
